Method	ID	Branch	Number of mutations	FP	FN	TP
PhySigs	m7_S10_k0_eps0.3	1	155	0	4	6
PhySigs	m7_S10_k0_eps0.3	3	68	0	4	6
PhySigs	m7_S10_k0_eps0.3	2	160	0	4	6
PhySigs	m7_S10_k0_eps0.3	5	35	0	4	6
PhySigs	m7_S10_k0_eps0.3	4	154	0	4	6
PhySigs	m7_S10_k0_eps0.3	7	112	0	4	6
PhySigs	m7_S10_k0_eps0.3	6	60	0	4	6
dSig	m7_S12_k0_eps0.3	1	47	3	5	6
dSig	m7_S12_k0_eps0.3	3	181	1	5	6
dSig	m7_S12_k0_eps0.3	2	113	0	4	7
dSig	m7_S12_k0_eps0.3	5	134	1	5	6
dSig	m7_S12_k0_eps0.3	4	102	2	6	5
dSig	m7_S12_k0_eps0.3	7	44	3	5	6
dSig	m7_S12_k0_eps0.3	6	97	1	5	6
PhyloSigFinder.dSig	m7_S12_k0_eps0.3	1	47	0	4	7
PhyloSigFinder.dSig	m7_S12_k0_eps0.3	3	181	0	3	8
PhyloSigFinder.dSig	m7_S12_k0_eps0.3	2	113	0	4	7
PhyloSigFinder.dSig	m7_S12_k0_eps0.3	5	134	0	3	8
PhyloSigFinder.dSig	m7_S12_k0_eps0.3	4	102	2	5	6
PhyloSigFinder.dSig	m7_S12_k0_eps0.3	7	44	0	5	6
PhyloSigFinder.dSig	m7_S12_k0_eps0.3	6	97	0	4	7
PhySigs	m7_S12_k0_eps0.3	1	47	0	4	7
PhySigs	m7_S12_k0_eps0.3	3	181	0	4	7
PhySigs	m7_S12_k0_eps0.3	2	113	0	4	7
PhySigs	m7_S12_k0_eps0.3	5	134	0	4	7
PhySigs	m7_S12_k0_eps0.3	4	102	0	4	7
PhySigs	m7_S12_k0_eps0.3	7	44	0	4	7
PhySigs	m7_S12_k0_eps0.3	6	97	0	4	7
dSig	m7_S23_k0_eps0.3	1	86	0	6	5
dSig	m7_S23_k0_eps0.3	3	148	0	7	4
dSig	m7_S23_k0_eps0.3	2	188	0	6	5
dSig	m7_S23_k0_eps0.3	5	145	0	6	5
dSig	m7_S23_k0_eps0.3	4	112	0	6	5
dSig	m7_S23_k0_eps0.3	7	180	0	7	4
dSig	m7_S23_k0_eps0.3	6	50	4	9	2
PhyloSigFinder.dSig	m7_S23_k0_eps0.3	1	86	0	6	5
PhyloSigFinder.dSig	m7_S23_k0_eps0.3	3	148	1	6	5
PhyloSigFinder.dSig	m7_S23_k0_eps0.3	2	188	0	4	7
PhyloSigFinder.dSig	m7_S23_k0_eps0.3	5	145	0	6	5
PhyloSigFinder.dSig	m7_S23_k0_eps0.3	4	112	0	6	5
PhyloSigFinder.dSig	m7_S23_k0_eps0.3	7	180	0	5	6
PhyloSigFinder.dSig	m7_S23_k0_eps0.3	6	50	3	7	4
PhySigs	m7_S23_k0_eps0.3	1	86	0	7	4
PhySigs	m7_S23_k0_eps0.3	3	148	0	7	4
PhySigs	m7_S23_k0_eps0.3	2	188	0	7	4
PhySigs	m7_S23_k0_eps0.3	5	145	0	7	4
PhySigs	m7_S23_k0_eps0.3	4	112	0	7	4
PhySigs	m7_S23_k0_eps0.3	7	180	0	7	4
PhySigs	m7_S23_k0_eps0.3	6	50	0	7	4
dSig	m7_S30_k0_eps0.3	1	167	0	5	5
dSig	m7_S30_k0_eps0.3	3	130	2	7	3
dSig	m7_S30_k0_eps0.3	2	49	1	4	6
dSig	m7_S30_k0_eps0.3	5	60	1	6	4
dSig	m7_S30_k0_eps0.3	4	166	0	6	4
dSig	m7_S30_k0_eps0.3	7	30	0	6	4
dSig	m7_S30_k0_eps0.3	6	156	1	6	4
PhyloSigFinder.dSig	m7_S30_k0_eps0.3	1	167	0	2	8
PhyloSigFinder.dSig	m7_S30_k0_eps0.3	3	130	3	5	5
PhyloSigFinder.dSig	m7_S30_k0_eps0.3	2	49	3	4	6
PhyloSigFinder.dSig	m7_S30_k0_eps0.3	5	60	1	6	4
PhyloSigFinder.dSig	m7_S30_k0_eps0.3	4	166	0	4	6
PhyloSigFinder.dSig	m7_S30_k0_eps0.3	7	30	0	6	4
PhyloSigFinder.dSig	m7_S30_k0_eps0.3	6	156	0	4	6
PhySigs	m7_S30_k0_eps0.3	1	167	0	6	4
PhySigs	m7_S30_k0_eps0.3	3	130	0	6	4
PhySigs	m7_S30_k0_eps0.3	2	49	0	6	4
PhySigs	m7_S30_k0_eps0.3	5	60	0	6	4
PhySigs	m7_S30_k0_eps0.3	4	166	0	6	4
PhySigs	m7_S30_k0_eps0.3	7	30	0	6	4
PhySigs	m7_S30_k0_eps0.3	6	156	0	6	4
dSig	m7_S43_k0_eps0.3	1	160	0	10	8
dSig	m7_S43_k0_eps0.3	3	163	0	10	8
dSig	m7_S43_k0_eps0.3	2	153	1	12	6
dSig	m7_S43_k0_eps0.3	5	145	0	13	5
dSig	m7_S43_k0_eps0.3	4	26	2	11	7
dSig	m7_S43_k0_eps0.3	7	55	1	13	5
dSig	m7_S43_k0_eps0.3	6	113	0	13	5
PhyloSigFinder.dSig	m7_S43_k0_eps0.3	1	160	0	7	11
PhyloSigFinder.dSig	m7_S43_k0_eps0.3	3	163	0	6	12
PhyloSigFinder.dSig	m7_S43_k0_eps0.3	2	153	0	7	11
PhyloSigFinder.dSig	m7_S43_k0_eps0.3	5	145	0	9	9
PhyloSigFinder.dSig	m7_S43_k0_eps0.3	4	26	1	9	9
PhyloSigFinder.dSig	m7_S43_k0_eps0.3	7	55	0	11	7
PhyloSigFinder.dSig	m7_S43_k0_eps0.3	6	113	0	12	6
PhySigs	m7_S43_k0_eps0.3	1	160	0	13	5
PhySigs	m7_S43_k0_eps0.3	3	163	0	13	5
PhySigs	m7_S43_k0_eps0.3	2	153	0	13	5
PhySigs	m7_S43_k0_eps0.3	5	145	0	13	5
PhySigs	m7_S43_k0_eps0.3	4	26	0	13	5
PhySigs	m7_S43_k0_eps0.3	7	55	0	13	5
PhySigs	m7_S43_k0_eps0.3	6	113	0	13	5
dSig	m7_S49_k0_eps0.3	1	163	1	3	5
dSig	m7_S49_k0_eps0.3	3	32	3	5	3
dSig	m7_S49_k0_eps0.3	2	47	2	3	5
dSig	m7_S49_k0_eps0.3	5	117	0	4	4
dSig	m7_S49_k0_eps0.3	4	33	1	5	3
dSig	m7_S49_k0_eps0.3	7	141	0	3	5
dSig	m7_S49_k0_eps0.3	6	143	0	2	6
PhyloSigFinder.dSig	m7_S49_k0_eps0.3	1	163	1	2	6
PhyloSigFinder.dSig	m7_S49_k0_eps0.3	3	32	3	6	2
PhyloSigFinder.dSig	m7_S49_k0_eps0.3	2	47	2	4	4
PhyloSigFinder.dSig	m7_S49_k0_eps0.3	5	117	0	3	5
PhyloSigFinder.dSig	m7_S49_k0_eps0.3	4	33	1	4	4
PhyloSigFinder.dSig	m7_S49_k0_eps0.3	7	141	0	3	5
PhyloSigFinder.dSig	m7_S49_k0_eps0.3	6	143	1	2	6
PhySigs	m7_S49_k0_eps0.3	1	163	0	3	5
PhySigs	m7_S49_k0_eps0.3	3	32	0	3	5
PhySigs	m7_S49_k0_eps0.3	2	47	0	3	5
PhySigs	m7_S49_k0_eps0.3	5	117	0	3	5
PhySigs	m7_S49_k0_eps0.3	4	33	0	3	5
PhySigs	m7_S49_k0_eps0.3	7	141	0	3	5
PhySigs	m7_S49_k0_eps0.3	6	143	0	3	5
dSig	m7_S61_k0_eps0.3	1	205	0	10	5
dSig	m7_S61_k0_eps0.3	3	158	1	10	5
dSig	m7_S61_k0_eps0.3	2	61	2	10	5
dSig	m7_S61_k0_eps0.3	5	166	1	9	6
dSig	m7_S61_k0_eps0.3	4	150	0	7	8
dSig	m7_S61_k0_eps0.3	7	8	0	11	4
dSig	m7_S61_k0_eps0.3	6	169	2	11	4
PhyloSigFinder.dSig	m7_S61_k0_eps0.3	1	205	0	6	9
PhyloSigFinder.dSig	m7_S61_k0_eps0.3	3	158	0	7	8
PhyloSigFinder.dSig	m7_S61_k0_eps0.3	2	61	0	10	5
PhyloSigFinder.dSig	m7_S61_k0_eps0.3	5	166	0	7	8
PhyloSigFinder.dSig	m7_S61_k0_eps0.3	4	150	0	5	10
PhyloSigFinder.dSig	m7_S61_k0_eps0.3	7	8	NA	NA	NA
PhyloSigFinder.dSig	m7_S61_k0_eps0.3	6	169	0	6	9
PhySigs	m7_S61_k0_eps0.3	1	205	0	10	5
PhySigs	m7_S61_k0_eps0.3	3	158	0	10	5
PhySigs	m7_S61_k0_eps0.3	2	61	0	10	5
PhySigs	m7_S61_k0_eps0.3	5	166	0	10	5
PhySigs	m7_S61_k0_eps0.3	4	150	0	10	5
PhySigs	m7_S61_k0_eps0.3	7	8	0	10	5
PhySigs	m7_S61_k0_eps0.3	6	169	0	10	5
dSig	m7_S66_k0_eps0.3	1	49	2	6	6
dSig	m7_S66_k0_eps0.3	3	135	1	5	7
dSig	m7_S66_k0_eps0.3	2	55	0	6	6
dSig	m7_S66_k0_eps0.3	5	115	1	4	8
dSig	m7_S66_k0_eps0.3	4	141	0	6	6
dSig	m7_S66_k0_eps0.3	7	23	2	8	4
dSig	m7_S66_k0_eps0.3	6	42	2	7	5
PhyloSigFinder.dSig	m7_S66_k0_eps0.3	1	49	1	7	5
PhyloSigFinder.dSig	m7_S66_k0_eps0.3	3	135	1	6	6
PhyloSigFinder.dSig	m7_S66_k0_eps0.3	2	55	1	8	4
PhyloSigFinder.dSig	m7_S66_k0_eps0.3	5	115	0	5	7
PhyloSigFinder.dSig	m7_S66_k0_eps0.3	4	141	0	5	7
PhyloSigFinder.dSig	m7_S66_k0_eps0.3	7	23	1	7	5
PhyloSigFinder.dSig	m7_S66_k0_eps0.3	6	42	1	7	5
PhySigs	m7_S66_k0_eps0.3	1	49	0	5	7
PhySigs	m7_S66_k0_eps0.3	3	135	0	5	7
PhySigs	m7_S66_k0_eps0.3	2	55	0	5	7
PhySigs	m7_S66_k0_eps0.3	5	115	0	5	7
PhySigs	m7_S66_k0_eps0.3	4	141	0	5	7
PhySigs	m7_S66_k0_eps0.3	7	23	0	5	7
PhySigs	m7_S66_k0_eps0.3	6	42	0	5	7
dSig	m7_S7_k0_eps0.3	1	131	1	5	4
dSig	m7_S7_k0_eps0.3	3	48	1	4	5
dSig	m7_S7_k0_eps0.3	2	55	2	4	5
dSig	m7_S7_k0_eps0.3	5	183	1	5	4
dSig	m7_S7_k0_eps0.3	4	78	1	6	3
dSig	m7_S7_k0_eps0.3	7	166	2	5	4
dSig	m7_S7_k0_eps0.3	6	156	1	4	5
PhyloSigFinder.dSig	m7_S7_k0_eps0.3	1	131	1	5	4
PhyloSigFinder.dSig	m7_S7_k0_eps0.3	3	48	0	5	4
PhyloSigFinder.dSig	m7_S7_k0_eps0.3	2	55	0	4	5
PhyloSigFinder.dSig	m7_S7_k0_eps0.3	5	183	0	3	6
PhyloSigFinder.dSig	m7_S7_k0_eps0.3	4	78	0	4	5
PhyloSigFinder.dSig	m7_S7_k0_eps0.3	7	166	2	4	5
PhyloSigFinder.dSig	m7_S7_k0_eps0.3	6	156	1	3	6
PhySigs	m7_S7_k0_eps0.3	1	131	0	3	6
PhySigs	m7_S7_k0_eps0.3	3	48	0	3	6
PhySigs	m7_S7_k0_eps0.3	2	55	0	3	6
PhySigs	m7_S7_k0_eps0.3	5	183	0	3	6
PhySigs	m7_S7_k0_eps0.3	4	78	0	3	6
PhySigs	m7_S7_k0_eps0.3	7	166	0	3	6
PhySigs	m7_S7_k0_eps0.3	6	156	0	3	6
dSig	m7_S81_k0_eps0.3	1	31	2	8	5
dSig	m7_S81_k0_eps0.3	3	93	0	6	7
dSig	m7_S81_k0_eps0.3	2	53	1	7	6
dSig	m7_S81_k0_eps0.3	5	123	0	5	8
dSig	m7_S81_k0_eps0.3	4	48	1	8	5
dSig	m7_S81_k0_eps0.3	7	132	2	7	6
dSig	m7_S81_k0_eps0.3	6	170	0	8	5
PhyloSigFinder.dSig	m7_S81_k0_eps0.3	1	31	0	9	4
PhyloSigFinder.dSig	m7_S81_k0_eps0.3	3	93	1	6	7
PhyloSigFinder.dSig	m7_S81_k0_eps0.3	2	53	1	6	7
PhyloSigFinder.dSig	m7_S81_k0_eps0.3	5	123	0	5	8
PhyloSigFinder.dSig	m7_S81_k0_eps0.3	4	48	0	6	7
PhyloSigFinder.dSig	m7_S81_k0_eps0.3	7	132	1	7	6
PhyloSigFinder.dSig	m7_S81_k0_eps0.3	6	170	1	5	8
PhySigs	m7_S81_k0_eps0.3	1	31	0	6	7
PhySigs	m7_S81_k0_eps0.3	3	93	0	6	7
PhySigs	m7_S81_k0_eps0.3	2	53	0	6	7
PhySigs	m7_S81_k0_eps0.3	5	123	0	6	7
PhySigs	m7_S81_k0_eps0.3	4	48	0	6	7
PhySigs	m7_S81_k0_eps0.3	7	132	0	6	7
PhySigs	m7_S81_k0_eps0.3	6	170	0	6	7
dSig	m7_S10_k1_eps0.1	1	98	1	8	4
dSig	m7_S10_k1_eps0.1	3	39	1	10	6
dSig	m7_S10_k1_eps0.1	2	15	0	7	5
dSig	m7_S10_k1_eps0.1	5	167	0	8	8
dSig	m7_S10_k1_eps0.1	4	169	0	8	8
dSig	m7_S10_k1_eps0.1	7	20	1	5	7
dSig	m7_S10_k1_eps0.1	6	174	0	5	7
PhyloSigFinder.dSig	m7_S10_k1_eps0.1	1	98	1	5	7
PhyloSigFinder.dSig	m7_S10_k1_eps0.1	3	39	1	10	6
PhyloSigFinder.dSig	m7_S10_k1_eps0.1	2	15	NA	NA	NA
PhyloSigFinder.dSig	m7_S10_k1_eps0.1	5	167	0	6	10
PhyloSigFinder.dSig	m7_S10_k1_eps0.1	4	169	1	6	10
PhyloSigFinder.dSig	m7_S10_k1_eps0.1	7	20	1	6	6
PhyloSigFinder.dSig	m7_S10_k1_eps0.1	6	174	0	3	9
PhySigs	m7_S10_k1_eps0.1	1	98	1	6	6
PhySigs	m7_S10_k1_eps0.1	3	39	0	8	8
PhySigs	m7_S10_k1_eps0.1	2	15	1	6	6
PhySigs	m7_S10_k1_eps0.1	5	167	0	8	8
PhySigs	m7_S10_k1_eps0.1	4	169	0	8	8
PhySigs	m7_S10_k1_eps0.1	7	20	1	6	6
PhySigs	m7_S10_k1_eps0.1	6	174	1	6	6
dSig	m7_S12_k1_eps0.1	1	130	0	9	5
dSig	m7_S12_k1_eps0.1	3	181	1	8	6
dSig	m7_S12_k1_eps0.1	2	178	1	9	5
dSig	m7_S12_k1_eps0.1	5	10	0	10	4
dSig	m7_S12_k1_eps0.1	4	188	0	5	5
dSig	m7_S12_k1_eps0.1	7	156	0	7	7
dSig	m7_S12_k1_eps0.1	6	159	1	9	5
PhyloSigFinder.dSig	m7_S12_k1_eps0.1	1	130	1	5	9
PhyloSigFinder.dSig	m7_S12_k1_eps0.1	3	181	0	4	10
PhyloSigFinder.dSig	m7_S12_k1_eps0.1	2	178	0	4	10
PhyloSigFinder.dSig	m7_S12_k1_eps0.1	5	10	NA	NA	NA
PhyloSigFinder.dSig	m7_S12_k1_eps0.1	4	188	0	3	7
PhyloSigFinder.dSig	m7_S12_k1_eps0.1	7	156	0	4	10
PhyloSigFinder.dSig	m7_S12_k1_eps0.1	6	159	0	5	9
PhySigs	m7_S12_k1_eps0.1	1	130	0	8	6
PhySigs	m7_S12_k1_eps0.1	3	181	0	8	6
PhySigs	m7_S12_k1_eps0.1	2	178	0	8	6
PhySigs	m7_S12_k1_eps0.1	5	10	0	8	6
PhySigs	m7_S12_k1_eps0.1	4	188	0	5	5
PhySigs	m7_S12_k1_eps0.1	7	156	0	8	6
PhySigs	m7_S12_k1_eps0.1	6	159	0	8	6
dSig	m7_S23_k1_eps0.1	1	78	0	6	6
dSig	m7_S23_k1_eps0.1	3	108	1	7	5
dSig	m7_S23_k1_eps0.1	2	157	1	7	5
dSig	m7_S23_k1_eps0.1	5	61	0	9	4
dSig	m7_S23_k1_eps0.1	4	129	0	8	5
dSig	m7_S23_k1_eps0.1	7	22	0	9	4
dSig	m7_S23_k1_eps0.1	6	156	0	7	6
PhyloSigFinder.dSig	m7_S23_k1_eps0.1	1	78	0	4	8
PhyloSigFinder.dSig	m7_S23_k1_eps0.1	3	108	2	7	5
PhyloSigFinder.dSig	m7_S23_k1_eps0.1	2	157	1	5	7
PhyloSigFinder.dSig	m7_S23_k1_eps0.1	5	61	0	7	6
PhyloSigFinder.dSig	m7_S23_k1_eps0.1	4	129	0	6	7
PhyloSigFinder.dSig	m7_S23_k1_eps0.1	7	22	0	9	4
PhyloSigFinder.dSig	m7_S23_k1_eps0.1	6	156	1	7	6
PhySigs	m7_S23_k1_eps0.1	1	78	1	6	6
PhySigs	m7_S23_k1_eps0.1	3	108	1	6	6
PhySigs	m7_S23_k1_eps0.1	2	157	1	6	6
PhySigs	m7_S23_k1_eps0.1	5	61	0	8	5
PhySigs	m7_S23_k1_eps0.1	4	129	0	8	5
PhySigs	m7_S23_k1_eps0.1	7	22	0	8	5
PhySigs	m7_S23_k1_eps0.1	6	156	0	8	5
dSig	m7_S30_k1_eps0.1	1	74	1	12	6
dSig	m7_S30_k1_eps0.1	3	144	0	12	6
dSig	m7_S30_k1_eps0.1	2	185	1	13	5
dSig	m7_S30_k1_eps0.1	5	87	2	8	5
dSig	m7_S30_k1_eps0.1	4	16	0	14	4
dSig	m7_S30_k1_eps0.1	7	83	2	12	6
dSig	m7_S30_k1_eps0.1	6	147	0	12	6
PhyloSigFinder.dSig	m7_S30_k1_eps0.1	1	74	1	11	7
PhyloSigFinder.dSig	m7_S30_k1_eps0.1	3	144	1	11	7
PhyloSigFinder.dSig	m7_S30_k1_eps0.1	2	185	0	7	11
PhyloSigFinder.dSig	m7_S30_k1_eps0.1	5	87	1	6	7
PhyloSigFinder.dSig	m7_S30_k1_eps0.1	4	16	NA	NA	NA
PhyloSigFinder.dSig	m7_S30_k1_eps0.1	7	83	1	10	8
PhyloSigFinder.dSig	m7_S30_k1_eps0.1	6	147	0	9	9
PhySigs	m7_S30_k1_eps0.1	1	74	0	13	5
PhySigs	m7_S30_k1_eps0.1	3	144	0	13	5
PhySigs	m7_S30_k1_eps0.1	2	185	0	13	5
PhySigs	m7_S30_k1_eps0.1	5	87	2	8	5
PhySigs	m7_S30_k1_eps0.1	4	16	0	13	5
PhySigs	m7_S30_k1_eps0.1	7	83	0	13	5
PhySigs	m7_S30_k1_eps0.1	6	147	0	13	5
dSig	m7_S43_k1_eps0.1	1	71	0	10	6
dSig	m7_S43_k1_eps0.1	3	98	0	9	7
dSig	m7_S43_k1_eps0.1	2	190	0	9	7
dSig	m7_S43_k1_eps0.1	5	31	1	11	5
dSig	m7_S43_k1_eps0.1	4	137	0	10	6
dSig	m7_S43_k1_eps0.1	7	15	0	11	5
dSig	m7_S43_k1_eps0.1	6	112	1	7	4
PhyloSigFinder.dSig	m7_S43_k1_eps0.1	1	71	0	9	7
PhyloSigFinder.dSig	m7_S43_k1_eps0.1	3	98	0	8	8
PhyloSigFinder.dSig	m7_S43_k1_eps0.1	2	190	0	7	9
PhyloSigFinder.dSig	m7_S43_k1_eps0.1	5	31	0	10	6
PhyloSigFinder.dSig	m7_S43_k1_eps0.1	4	137	0	5	11
PhyloSigFinder.dSig	m7_S43_k1_eps0.1	7	15	NA	NA	NA
PhyloSigFinder.dSig	m7_S43_k1_eps0.1	6	112	4	5	6
PhySigs	m7_S43_k1_eps0.1	1	71	0	9	7
PhySigs	m7_S43_k1_eps0.1	3	98	0	9	7
PhySigs	m7_S43_k1_eps0.1	2	190	0	9	7
PhySigs	m7_S43_k1_eps0.1	5	31	0	9	7
PhySigs	m7_S43_k1_eps0.1	4	137	0	9	7
PhySigs	m7_S43_k1_eps0.1	7	15	0	9	7
PhySigs	m7_S43_k1_eps0.1	6	112	1	7	4
dSig	m7_S49_k1_eps0.1	1	128	0	9	4
dSig	m7_S49_k1_eps0.1	3	10	0	9	4
dSig	m7_S49_k1_eps0.1	2	70	2	9	4
dSig	m7_S49_k1_eps0.1	5	132	0	9	4
dSig	m7_S49_k1_eps0.1	4	31	0	7	6
dSig	m7_S49_k1_eps0.1	7	87	0	8	7
dSig	m7_S49_k1_eps0.1	6	194	0	9	6
PhyloSigFinder.dSig	m7_S49_k1_eps0.1	1	128	0	8	5
PhyloSigFinder.dSig	m7_S49_k1_eps0.1	3	10	NA	NA	NA
PhyloSigFinder.dSig	m7_S49_k1_eps0.1	2	70	0	7	6
PhyloSigFinder.dSig	m7_S49_k1_eps0.1	5	132	0	7	6
PhyloSigFinder.dSig	m7_S49_k1_eps0.1	4	31	0	7	6
PhyloSigFinder.dSig	m7_S49_k1_eps0.1	7	87	1	9	6
PhyloSigFinder.dSig	m7_S49_k1_eps0.1	6	194	2	5	10
PhySigs	m7_S49_k1_eps0.1	1	128	0	9	4
PhySigs	m7_S49_k1_eps0.1	3	10	0	9	4
PhySigs	m7_S49_k1_eps0.1	2	70	0	9	4
PhySigs	m7_S49_k1_eps0.1	5	132	0	9	4
PhySigs	m7_S49_k1_eps0.1	4	31	0	9	4
PhySigs	m7_S49_k1_eps0.1	7	87	0	9	6
PhySigs	m7_S49_k1_eps0.1	6	194	0	9	6
dSig	m7_S61_k1_eps0.1	1	120	0	7	8
dSig	m7_S61_k1_eps0.1	3	99	1	10	5
dSig	m7_S61_k1_eps0.1	2	152	0	7	8
dSig	m7_S61_k1_eps0.1	5	94	2	10	5
dSig	m7_S61_k1_eps0.1	4	134	0	8	7
dSig	m7_S61_k1_eps0.1	7	171	1	7	5
dSig	m7_S61_k1_eps0.1	6	142	0	8	7
PhyloSigFinder.dSig	m7_S61_k1_eps0.1	1	120	0	6	9
PhyloSigFinder.dSig	m7_S61_k1_eps0.1	3	99	1	6	9
PhyloSigFinder.dSig	m7_S61_k1_eps0.1	2	152	0	5	10
PhyloSigFinder.dSig	m7_S61_k1_eps0.1	5	94	1	7	8
PhyloSigFinder.dSig	m7_S61_k1_eps0.1	4	134	0	5	10
PhyloSigFinder.dSig	m7_S61_k1_eps0.1	7	171	1	6	6
PhyloSigFinder.dSig	m7_S61_k1_eps0.1	6	142	0	6	9
PhySigs	m7_S61_k1_eps0.1	1	120	0	8	7
PhySigs	m7_S61_k1_eps0.1	3	99	0	8	7
PhySigs	m7_S61_k1_eps0.1	2	152	0	8	7
PhySigs	m7_S61_k1_eps0.1	5	94	0	8	7
PhySigs	m7_S61_k1_eps0.1	4	134	0	8	7
PhySigs	m7_S61_k1_eps0.1	7	171	1	7	5
PhySigs	m7_S61_k1_eps0.1	6	142	0	8	7
dSig	m7_S66_k1_eps0.1	1	124	0	7	4
dSig	m7_S66_k1_eps0.1	3	197	0	8	3
dSig	m7_S66_k1_eps0.1	2	64	1	8	3
dSig	m7_S66_k1_eps0.1	5	12	0	9	2
dSig	m7_S66_k1_eps0.1	4	138	0	6	5
dSig	m7_S66_k1_eps0.1	7	21	1	10	6
dSig	m7_S66_k1_eps0.1	6	130	0	6	5
PhyloSigFinder.dSig	m7_S66_k1_eps0.1	1	124	1	6	5
PhyloSigFinder.dSig	m7_S66_k1_eps0.1	3	197	0	4	7
PhyloSigFinder.dSig	m7_S66_k1_eps0.1	2	64	1	7	4
PhyloSigFinder.dSig	m7_S66_k1_eps0.1	5	12	NA	NA	NA
PhyloSigFinder.dSig	m7_S66_k1_eps0.1	4	138	0	6	5
PhyloSigFinder.dSig	m7_S66_k1_eps0.1	7	21	1	11	5
PhyloSigFinder.dSig	m7_S66_k1_eps0.1	6	130	2	6	5
PhySigs	m7_S66_k1_eps0.1	1	124	0	7	4
PhySigs	m7_S66_k1_eps0.1	3	197	0	7	4
PhySigs	m7_S66_k1_eps0.1	2	64	0	7	4
PhySigs	m7_S66_k1_eps0.1	5	12	0	7	4
PhySigs	m7_S66_k1_eps0.1	4	138	0	7	4
PhySigs	m7_S66_k1_eps0.1	7	21	1	10	6
PhySigs	m7_S66_k1_eps0.1	6	130	0	7	4
dSig	m7_S7_k1_eps0.1	1	49	1	9	6
dSig	m7_S7_k1_eps0.1	3	86	1	10	5
dSig	m7_S7_k1_eps0.1	2	105	1	9	6
dSig	m7_S7_k1_eps0.1	5	175	0	5	8
dSig	m7_S7_k1_eps0.1	4	53	3	8	5
dSig	m7_S7_k1_eps0.1	7	103	1	5	8
dSig	m7_S7_k1_eps0.1	6	186	2	6	7
PhyloSigFinder.dSig	m7_S7_k1_eps0.1	1	49	1	9	6
PhyloSigFinder.dSig	m7_S7_k1_eps0.1	3	86	2	7	8
PhyloSigFinder.dSig	m7_S7_k1_eps0.1	2	105	2	9	6
PhyloSigFinder.dSig	m7_S7_k1_eps0.1	5	175	0	3	10
PhyloSigFinder.dSig	m7_S7_k1_eps0.1	4	53	0	6	7
PhyloSigFinder.dSig	m7_S7_k1_eps0.1	7	103	0	5	8
PhyloSigFinder.dSig	m7_S7_k1_eps0.1	6	186	1	4	9
PhySigs	m7_S7_k1_eps0.1	1	49	0	9	6
PhySigs	m7_S7_k1_eps0.1	3	86	0	9	6
PhySigs	m7_S7_k1_eps0.1	2	105	0	9	6
PhySigs	m7_S7_k1_eps0.1	5	175	0	5	8
PhySigs	m7_S7_k1_eps0.1	4	53	0	5	8
PhySigs	m7_S7_k1_eps0.1	7	103	0	5	8
PhySigs	m7_S7_k1_eps0.1	6	186	0	5	8
dSig	m7_S81_k1_eps0.1	1	63	2	4	4
dSig	m7_S81_k1_eps0.1	3	187	0	8	4
dSig	m7_S81_k1_eps0.1	2	176	0	7	5
dSig	m7_S81_k1_eps0.1	5	95	0	8	4
dSig	m7_S81_k1_eps0.1	4	161	0	7	5
dSig	m7_S81_k1_eps0.1	7	116	1	2	6
dSig	m7_S81_k1_eps0.1	6	194	0	8	4
PhyloSigFinder.dSig	m7_S81_k1_eps0.1	1	63	2	4	4
PhyloSigFinder.dSig	m7_S81_k1_eps0.1	3	187	0	3	9
PhyloSigFinder.dSig	m7_S81_k1_eps0.1	2	176	0	6	6
PhyloSigFinder.dSig	m7_S81_k1_eps0.1	5	95	0	4	8
PhyloSigFinder.dSig	m7_S81_k1_eps0.1	4	161	0	5	7
PhyloSigFinder.dSig	m7_S81_k1_eps0.1	7	116	3	3	5
PhyloSigFinder.dSig	m7_S81_k1_eps0.1	6	194	0	4	8
PhySigs	m7_S81_k1_eps0.1	1	63	1	3	5
PhySigs	m7_S81_k1_eps0.1	3	187	0	7	5
PhySigs	m7_S81_k1_eps0.1	2	176	0	7	5
PhySigs	m7_S81_k1_eps0.1	5	95	0	7	5
PhySigs	m7_S81_k1_eps0.1	4	161	0	7	5
PhySigs	m7_S81_k1_eps0.1	7	116	1	3	5
PhySigs	m7_S81_k1_eps0.1	6	194	0	7	5
dSig	m7_S10_k1_eps0.2	1	157	0	6	7
dSig	m7_S10_k1_eps0.2	3	22	4	9	2
dSig	m7_S10_k1_eps0.2	2	135	1	3	10
dSig	m7_S10_k1_eps0.2	5	112	0	7	4
dSig	m7_S10_k1_eps0.2	4	31	1	6	5
dSig	m7_S10_k1_eps0.2	7	150	1	5	8
dSig	m7_S10_k1_eps0.2	6	49	0	6	7
PhyloSigFinder.dSig	m7_S10_k1_eps0.2	1	157	0	3	10
PhyloSigFinder.dSig	m7_S10_k1_eps0.2	3	22	3	8	3
PhyloSigFinder.dSig	m7_S10_k1_eps0.2	2	135	1	2	11
PhyloSigFinder.dSig	m7_S10_k1_eps0.2	5	112	0	5	6
PhyloSigFinder.dSig	m7_S10_k1_eps0.2	4	31	1	6	5
PhyloSigFinder.dSig	m7_S10_k1_eps0.2	7	150	0	4	9
PhyloSigFinder.dSig	m7_S10_k1_eps0.2	6	49	0	2	11
PhySigs	m7_S10_k1_eps0.2	1	157	0	4	9
PhySigs	m7_S10_k1_eps0.2	3	22	0	7	4
PhySigs	m7_S10_k1_eps0.2	2	135	0	4	9
